,title,rating,review_count,price,publishing_house,binding,number_of_pages,paper_type,language,release_date,height,width,illustrated,thickness
13,Книга для записи кулинарных рецептов «Вкусы Италии»,4.0,1.0,1092,АСТ,твердый переплет,357.2,оффсетная,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
14,Скрюченный домишко,5.0,6.0,1430,Эксмо,мягкая обложка,320.0,газетная,русский,2020.0,165.0,113.0,нет,20.0
15,Бремя любви,5.0,1.0,1319,Эксмо,мягкая обложка,288.0,газетная,русский,2021.0,166.0,111.0,нет,18.0
16,Путь в Подсознание. Как познать себя и ощутить радость жизни,4.830314232902033,17.495748613678373,3125,АСТ,твердый переплет,288.0,пухлая,русский,2023.0,227.0,157.0,нет,30.0
17,Пир стервятников,4.8,4.0,3344,АСТ,твердый переплет,768.0,газетная,русский,2021.0,206.0,129.0,нет,34.0
18,Сок сельдерея. Природный эликсир энергии и здоровья,5.0,7.0,3763,Эксмо,суперобложка,368.0,оффсетная,русский,2019.0,200.0,138.0,нет,24.0
19,Тайна Коко. От музыки до мечты. Книга для чтения с цветными картинками,5.0,5.0,2079,Эксмо,твердый переплет,64.0,матовая,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
20,"Лисичка Тыковка, или Лунный камень",5.0,18.0,1745,Эксмо,твердый переплет,128.0,оффсетная,русский,2015.0,205.0,130.0,нет,12.0
21,Двенадцать месяцев,5.0,5.0,1250,АСТ,твердый переплет,96.0,оффсетная,русский,2014.0,217.0,146.0,нет,10.0
22,Учитель,3.4,5.0,1044,АСТ,мягкая обложка,320.0,оффсетная,русский,2019.0,180.0,115.0,нет,22.596082241301403
23,Рассказ Служанки,4.830314232902033,17.495748613678373,2414,Эксмо,твердый переплет,352.0,оффсетная,русский,2022.0,187.0,125.0,нет,24.0
24,Курок,4.8,4.0,3875,АСТ,твердый переплет,576.0,оффсетная,русский,2022.0,208.0,135.0,нет,34.0
25,Два капитана,4.7,7.0,8606,Нигма,твердый переплет,720.0,оффсетная,русский,2017.0,224.0,175.0,нет,42.0
26,Легкий способ бросить курить,5.0,47.0,3607,Добрая книга,мягкая обложка,208.0,оффсетная,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
27,"Там, где цветет полынь",5.0,1.0,2760,Popcorn Books,мягкая обложка,624.0,пухлая,русский,2023.0,210.0,140.0,нет,50.0
28,Полная колода Таро Уэйта. Руководство для предсказаний,5.0,10.0,5748,АСТ,твердый переплет,78.0,картон,русский,2020.0,216.0,157.0,нет,45.0
29,Мистикал. Том 1: Пробуждение магии,4.830314232902033,17.495748613678373,2469,АСТ,твердый переплет,256.0,пухлая,русский,2023.0,205.0,130.0,нет,18.0
30,Династия Тан. Расцвет китайского средневековья,4.830314232902033,17.495748613678373,3781,АСТ,твердый переплет,352.0,пухлая,русский,2023.0,215.0,145.0,нет,23.0
31,Убить пересмешника…,4.8,88.0,1520,АСТ,мягкая обложка,416.0,оффсетная,русский,2018.0,180.0,116.0,нет,20.0
32,Великий Гэтсби,4.9,7.0,1157,Азбука,мягкая обложка,256.0,газетная,русский,2023.0,115.0,180.0,нет,14.0
33,Эгоистичный ген,4.9,9.0,4968,АСТ,твердый переплет,512.0,оффсетная,русский,2013.0,216.0,148.0,нет,28.0
34,"Номер 1. Как стать лучшим в том, что ты делаешь",4.6,25.0,7333,"Манн, Иванов и Фербер",твердый переплет,240.0,оффсетная,русский,2018.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
35,Книга замужней женщины,4.7,29.0,2390,Алматы,мягкая обложка,200.0,матовая,русский,2020.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
36,Всё о ней. Нетревожный подход к гинекологии,4.830314232902033,17.495748613678373,2941,Индивидуум паблишинг,мягкая обложка,336.0,оффсетная,русский,2023.0,215.0,145.0,нет,28.0
37,Скотный Двор. Эссе,5.0,10.0,1250,АСТ,мягкая обложка,256.0,газетная,русский,2017.0,181.0,114.0,нет,21.0
38,"Возлюби болезнь свою. Как стать здоровым, познав радость жизни",4.9,36.0,2394,Центрполиграф,мягкая обложка,249.0,оффсетная,русский,2021.0,130.0,200.0,нет,22.596082241301403
39,Вишневый сад,4.830314232902033,17.495748613678373,1000,АСТ,мягкая обложка,352.0,типографская,русский,2022.0,180.0,115.0,нет,27.0
40,"Доказательная психосоматика: факты и научный подход. Очень полезная книга для всех, кто думает о здоровье",5.0,22.0,3438,АСТ,твердый переплет,256.0,оффсетная,русский,2023.0,218.0,168.0,нет,18.0
41,Раскраска «Желания»,5.0,7.0,833,АСТ,мягкая обложка,16.0,оффсетная,русский,2023.0,225.0,225.0,нет,22.596082241301403
42,Волшебник Изумрудного города,4.9,15.0,3539,Эксмо,твердый переплет,288.0,оффсетная,русский,2018.0,227.0,172.0,нет,27.0
43,Вкусное заклинание,5.0,4.0,2541,Эксмо,твердый переплет,144.0,оффсетная,русский,2020.0,193.0,133.0,нет,15.0
44,"Дом, в котором...",4.6,55.0,7039,Livebook (Лайвбук),твердый переплет,960.0,оффсетная,русский,2022.0,202.0,145.0,нет,42.0
45,Метро 2035,4.3,6.0,5468,АСТ,твердый переплет,384.0,оффсетная,русский,2018.0,218.0,170.0,нет,23.0
46,Москва-Петушки,5.0,3.0,1041,Азбука-Аттикус,мягкая обложка,192.0,газетная,русский,2023.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
47,Перси Джексон и проклятие титана,4.9,31.0,2639,Эксмо,твердый переплет,416.0,оффсетная,русский,2013.0,206.0,132.0,нет,26.0
48,"Сэру Филиппу, с любовью",4.5,4.0,2345,АСТ,твердый переплет,320.0,оффсетная,русский,2021.0,207.0,133.0,нет,22.0
49,Отношения между эго и бессознательным,5.0,1.0,1439,АСТ,мягкая обложка,320.0,оффсетная,русский,2021.0,180.0,115.0,нет,18.0
50,Щелкунчик и Мышиный король,5.0,1.0,1044,Малыш,мягкая обложка,64.0,оффсетная,русский,2021.0,210.0,160.0,нет,5.0
51,Злой король,5.0,50.0,2510,Freedom,твердый переплет,448.0,оффсетная,русский,2019.0,206.0,131.0,нет,24.0
52,Қан мен тер,4.5,2.0,6400,Книжный клуб,твердый переплет,546.0,оффсетная,казахский,2021.0,206.0,206.0,нет,7.0
53,Письмо незнакомки. Новеллы,5.0,5.0,968,Азбука,твердый переплет,352.0,газетная,русский,2021.0,205.0,135.0,нет,26.0
54,Духовка Сильвии Плат,5.0,2.0,3313,Эксмо,твердый переплет,416.0,оффсетная,русский,2020.0,208.0,135.0,нет,26.0
55,Виллет,4.5,4.0,1338,АСТ,мягкая обложка,704.0,типографская,русский,2021.0,182.0,117.0,нет,26.0
56,Убийство в «Восточном экспрессе»,5.0,18.0,1525,Эксмо,твердый переплет,320.0,оффсетная,русский,2021.0,207.0,132.0,нет,23.0
57,Алая зима,5.0,13.0,2906,АСТ,твердый переплет,384.0,оффсетная,русский,2019.0,205.0,132.0,нет,25.0
58,Преступление и наказание,4.7,37.0,986,Азбука,твердый переплет,608.0,газетная,русский,2018.0,205.0,135.0,нет,28.0
59,Самые лучшие корейские сказки,5.0,13.0,1389,АСТ,мягкая обложка,160.0,оффсетная,русский,2018.0,200.0,125.0,нет,11.0
60,Труп в библиотеке,4.7,38.0,1090,Эксмо,мягкая обложка,288.0,оффсетная,русский,2019.0,166.0,113.0,нет,18.0
61,Самая важная книга для родителей,4.9,36.0,7717,АСТ,суперобложка,752.0,оффсетная,русский,2017.0,242.0,175.0,нет,34.0
62,Арабский язык без репетитора. Самоучитель арабского языка,5.0,4.0,1250,АСТ,мягкая обложка,320.0,оффсетная,"русский, арабский",2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
63,Неправильные. Графический роман,5.0,1.0,4472,Эксмо,твердый переплет,192.0,оффсетная,русский,2022.0,220.0,155.0,нет,15.0
64,Вот мы какие!,4.830314232902033,17.495748613678373,1196,АСТ,твердый переплет,24.0,оффсетная,русский,2023.0,178.0,175.0,нет,6.0
65,Календарь магнитный «Славный дракоша Фэнси»,4.830314232902033,17.495748613678373,489,АСТ,мягкая обложка,357.2,оффсетная,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
66,"Пять языков любви. Актуально для всех, а не только для супружеских пар",4.7,17.0,3392,Брайт Букс,мягкая обложка,192.0,газетная,русский,2022.0,212.0,144.0,нет,11.0
67,Луна и шесть пенсов. Новый перевод,5.0,2.0,1439,АСТ,мягкая обложка,288.0,оффсетная,русский,2022.0,185.0,120.0,нет,17.0
68,Тихие слова любви,4.9,36.0,3087,Эксмо,твердый переплет,384.0,оффсетная,русский,1973.184034736139,190.0,116.0,нет,22.596082241301403
69,Пропавший без вести,4.5,2.0,1196,АСТ,мягкая обложка,352.0,газетная,русский,2017.0,180.0,115.0,нет,24.0
70,Монстролог. Все жуткие истории,5.0,2.0,5468,АСТ,твердый переплет,1120.0,типографская,русский,2021.0,220.0,149.0,нет,52.0
71,Звезды над нами,5.0,6.0,2688,АСТ,твердый переплет,416.0,оффсетная,русский,2022.0,200.0,125.0,нет,22.596082241301403
72,Демиан,4.8,56.0,1272,АСТ,мягкая обложка,224.0,оффсетная,русский,2014.0,180.0,115.0,нет,14.0
73,"Японское вязание крючком. Идеальный справочник по техникам, приемам и чтению схем любой сложности",5.0,2.0,4472,Эксмо,твердый переплет,224.0,оффсетная,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
74,Хороший динозавр. Дорога домой. Книга для чтения с цветными картинками,5.0,30.0,2079,Эксмо,твердый переплет,64.0,матовая,русский,2019.0,200.0,145.0,нет,8.0
75,Империя тюрков. История великой цивилизации,5.0,6.0,9608,РИПОЛ классик,твердый переплет,704.0,оффсетная,русский,2021.0,262.0,210.0,нет,36.0
76,Семь сестер. Атлас. История Па Солта,5.0,1.0,5690,Эксмо,твердый переплет,656.0,пухлая,русский,2023.0,235.0,162.0,нет,40.0
77,Календарь настенный на 2024 год «Стихи русских поэтов»,4.830314232902033,17.495748613678373,1287,Эксмо,мягкая обложка,357.2,матовая,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
78,Дао Toyota. 14 принципов менеджмента ведущей компании мира. 2-е издание,5.0,2.0,6230,Теории от практиков,твердый переплет,492.0,оффсетная,русский,2023.0,241.0,168.0,нет,31.0
79,Ворон,5.0,3.0,1343,Азбука,мягкая обложка,288.0,газетная,русский,2021.0,180.0,116.0,нет,19.0
80,Защитные силы организма. Укрепляем иммунитет с помощью целительного массажа активных точек,4.830314232902033,17.495748613678373,2020,АСТ,твердый переплет,288.0,типографская,русский,2022.0,217.0,143.0,нет,18.0
81,Все сказки Ганса Христиана Андерсена,5.0,6.0,12402,Алгоритм,твердый переплет,960.0,оффсетная,русский,2018.0,240.0,173.0,нет,48.0
82,Разрушающая мифы,4.830314232902033,17.495748613678373,6080,bestsellers.kz,твердый переплет,168.0,оффсетная,русский,2023.0,205.0,145.0,нет,5.0
83,The Secret Garden,5.0,6.0,1801,АСТ,мягкая обложка,384.0,оффсетная,английский,2022.0,185.0,115.0,нет,18.0
84,Как перестать беспокоиться и начать жить,4.9,24.0,3596,Попурри,мягкая обложка,416.0,газетная,русский,2019.0,200.0,126.0,нет,18.0
85,"Развивающие задания, 2-3 года",4.9,14.0,312,Фламинго,мягкая обложка,16.0,оффсетная,русский,2021.0,215.0,164.0,нет,2.0
86,Фехтовальщики. Том первый,5.0,9.0,2760,Popcorn Books,мягкая обложка,112.0,оффсетная,русский,2021.0,270.0,175.0,нет,10.0
87,Своя комната,4.8,41.0,958,АСТ,мягкая обложка,224.0,оффсетная,русский,2019.0,180.0,115.0,нет,15.0
88,Безмолвный пациент,4.6,8.0,2414,Эксмо,мягкая обложка,384.0,оффсетная,русский,2021.0,163.0,112.0,нет,17.0
89,11/22/63,4.6,19.0,2125,АСТ,мягкая обложка,928.0,газетная,русский,2020.0,180.0,115.0,нет,35.0
90,Музыкофилия,5.0,2.0,1651,АСТ,мягкая обложка,480.0,оффсетная,русский,2018.0,180.0,115.0,нет,22.0
91,Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,4.9,113.0,3843,Прогресс книга,твердый переплет,304.0,оффсетная,русский,2022.0,241.0,171.0,нет,18.0
92,Полковнику никто не пишет,4.2,6.0,1481,АСТ,мягкая обложка,128.0,оффсетная,русский,2013.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
93,Men without women. Мужчины без женщин,4.8,4.0,2639,Эксмо,мягкая обложка,288.0,оффсетная,русский,2018.0,200.0,130.0,нет,15.0
94,Король и Шут. Старая книга,4.8,12.0,9123,АСТ,твердый переплет,280.0,оффсетная,русский,2018.0,288.0,216.0,да,21.0
95,Удивительное путешествие кролика Эдварда,5.0,15.0,3022,Махаон,твердый переплет,128.0,оффсетная,русский,2021.0,240.0,200.0,нет,15.0
96,Essential Grammar in Use with Answers. Fourth Edition,4.9,10.0,13571,Cambridge University Press,мягкая обложка,320.0,оффсетная,английский,2017.0,264.0,196.0,нет,15.0
97,Атлас. География Казахстана. 9 класс,5.0,30.0,790,8&8,мягкая обложка,52.0,оффсетная,русский,2022.0,290.0,197.0,нет,22.596082241301403
98,Ночной портье,5.0,3.0,1250,АСТ,твердый переплет,352.0,газетная,русский,2018.0,207.0,130.0,нет,23.0
99,Миллион на маркетплейсах. Продано!,4.830314232902033,17.495748613678373,2999,АСТ,твердый переплет,208.0,оффсетная,русский,2023.0,218.0,142.0,нет,15.0
100,Анатомия человека,4.6,13.0,3797,Эксмо,мягкая обложка,240.0,оффсетная,русский,2016.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
101,Искусство любить,4.7,74.0,1137,АСТ,мягкая обложка,224.0,оффсетная,русский,2022.0,180.0,115.0,нет,14.0
103,"Жизнь взаймы, или У неба любимчиков нет",4.9,9.0,2345,АСТ,твердый переплет,352.0,газетная,русский,2018.0,207.0,131.0,нет,27.0
104,Шолох. Долина Колокольчиков,5.0,1.0,3087,Эксмо,твердый переплет,512.0,типографская,русский,2023.0,200.0,125.0,нет,27.0
105,"Харизма как влиять, убеждать и вдохновлять",4.9,76.0,1581,Альпина Паблишер,мягкая обложка,430.0,оффсетная,русский,2022.0,165.0,120.0,нет,22.596082241301403
106,Евгений Онегин,5.0,8.0,884,Азбука,мягкая обложка,352.0,газетная,русский,2023.0,179.0,114.0,нет,12.0
107,Приключения Тома Сойера и Гекльберри Финна,4.8,18.0,987,Азбука,твердый переплет,608.0,газетная,русский,2021.0,205.0,135.0,нет,27.0
108,К востоку от Эдема,4.6,5.0,1894,АСТ,мягкая обложка,960.0,газетная,русский,2017.0,180.0,115.0,нет,35.0
109,Beast Complex. Звериный комплекс. Том 1,4.830314232902033,17.495748613678373,3564,АСТ,твердый переплет,192.0,оффсетная,русский,2023.0,205.0,145.0,нет,17.0
110,Неестественная смерть,4.830314232902033,17.495748613678373,1389,АСТ,мягкая обложка,384.0,пухлая,русский,2023.0,180.0,117.0,нет,27.0
111,Пианистка,4.830314232902033,17.495748613678373,3313,Эксмо,твердый переплет,416.0,типографская,русский,2022.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
112,Полный курс математики. 1 класс,5.0,11.0,1250,АСТ,мягкая обложка,286.0,оффсетная,русский,2016.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
113,Магия,4.7,29.0,3324,Эксмо,мягкая обложка,272.0,оффсетная,русский,2016.0,210.0,135.0,нет,18.0
114,Заклятые враги,5.0,3.0,2782,АСТ,твердый переплет,608.0,типографская,русский,2022.0,208.0,138.0,нет,44.0
115,Эквилибрис. Книга 2. Доминум,5.0,5.0,2645,Popcorn Books,мягкая обложка,608.0,оффсетная,русский,2022.0,210.0,140.0,нет,45.0
116,Цвет пурпурный,4.6,30.0,1265,АСТ,мягкая обложка,352.0,оффсетная,русский,2020.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
117,Цель. Процесс непрерывного улучшения,4.8,17.0,7817,Попурри,твердый переплет,400.0,оффсетная,русский,2023.0,170.0,245.0,нет,23.0
118,Айып етпе. Сиқырлы сөздер,4.830314232902033,17.495748613678373,1682,Общественный фонд «Мазмұндама»,мягкая обложка,24.0,оффсетная,Казахский,2023.0,200.0,200.0,нет,8.0
119,Архив Буресвета. Книга 1. Путь королей,5.0,5.0,5546,Азбука,твердый переплет,1152.0,оффсетная,русский,2021.0,215.0,147.0,нет,47.0
120,Психология влияния,5.0,12.0,2040,Питер,мягкая обложка,480.0,оффсетная,русский,2022.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
121,Джейн Эйр,5.0,1.0,2388,"Манн, Иванов и Фербер",твердый переплет,640.0,оффсетная,русский,2023.0,200.0,125.0,нет,40.0
122,"Кто нашел, берет себе",4.8,4.0,1370,АСТ,мягкая обложка,512.0,газетная,русский,2019.0,180.0,113.0,нет,20.0
123,Это же ребёнок! Школа адекватных родителей,5.0,1.0,1854,Эксмо,мягкая обложка,368.0,оффсетная,русский,2021.0,200.0,127.0,нет,22.0
124,Большая энциклопедия НЛП. Структура магии,5.0,3.0,2564,АСТ,твердый переплет,608.0,газетная,русский,2019.0,207.0,132.0,нет,38.0
125,Мороз Иванович,5.0,1.0,1613,Malamalama,переплет из картона,357.2,оффсетная,русский,2021.0,225.0,170.0,нет,22.596082241301403
126,Сорок правил любви,4.7,68.0,1079,Азбука,мягкая обложка,416.0,газетная,русский,2015.0,180.0,116.0,нет,20.0
127,Темное озеро,4.830314232902033,17.495748613678373,266,Эксмо,твердый переплет,448.0,оффсетная,русский,2022.0,209.0,134.0,нет,27.0
128,Марсианские хроники,4.830314232902033,17.495748613678373,1860,Эксмо,твердый переплет,320.0,оффсетная,русский,2020.0,208.0,134.0,нет,22.0
129,Нелюбовь сероглазого короля,4.7,42.0,2639,Эксмо,твердый переплет,384.0,оффсетная,русский,2020.0,210.0,135.0,нет,29.0
130,"Я ненавижу тебя, только не бросай меня. Пограничные личности и как их понять",4.2,5.0,2011,Питер,мягкая обложка,320.0,оффсетная,Русский,2022.0,180.0,115.0,нет,24.0
131,Интенсивный курс английского языка для начинающих,5.0,1.0,2564,АСТ,мягкая обложка,368.0,газетная,русский,2018.0,212.0,140.0,да,30.0
132,Путь художника,5.0,4.0,3477,Livebook (Лайвбук),мягкая обложка,384.0,оффсетная,русский,2022.0,206.0,145.0,нет,20.0
133,Ситуативный казахский. Том 1,4.8,19.0,2824,Алматы,твердый переплет,256.0,оффсетная,русский,2022.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
134,Мара и Морок. Особенная Тень,4.6,43.0,2991,Эксмо,твердый переплет,416.0,типографская,русский,2020.0,207.0,135.0,нет,35.0
135,Боремся со стрессом. Сборник простых и действенных упражнений,4.2,5.0,852,Контэнт,мягкая обложка,64.0,оффсетная,русский,2017.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
136,"Я, робот",5.0,3.0,2991,Эксмо,твердый переплет,320.0,оффсетная,русский,2019.0,200.0,125.0,нет,22.596082241301403
137,Янтарь рассеивает тьму,5.0,3.0,3539,Freedom,твердый переплет,576.0,оффсетная,русский,2023.0,200.0,125.0,нет,34.0
138,"Главные секреты абсолютной уверенности в себе. Проверенная формула, теперь она поможет и вам",4.6,15.0,1969,Питер,мягкая обложка,256.0,оффсетная,русский,2022.0,180.0,116.0,нет,17.0
139,"Магнус, берегись! Решебник по партиям чемпиона мира по шахматам",4.830314232902033,17.495748613678373,1064,Russian chess house,мягкая обложка,64.0,оффсетная,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
140,Поющие в терновнике,4.8,66.0,1695,АСТ,мягкая обложка,640.0,газетная,русский,2022.0,180.0,116.0,нет,32.0
141,Милый друг,5.0,6.0,1178,Эксмо,твердый переплет,352.0,газетная,русский,2021.0,210.0,138.0,нет,27.6
142,Смешные рассказы о школе,4.9,56.0,1077,Самовар,твердый переплет,112.0,оффсетная,русский,2009.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
143,Расклады на картах Таро. Практическое руководство,5.0,7.0,4342,Эксмо,твердый переплет,640.0,оффсетная,русский,2020.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
144,Шантарам — 2. Тень горы,4.6,39.0,4798,Азбука,твердый переплет,832.0,оффсетная,русский,2021.0,240.0,145.0,нет,43.0
145,Полный курс русского языка. 2 класс,4.9,11.0,1294,АСТ,мягкая обложка,352.0,газетная,русский,2016.0,201.0,125.0,нет,17.0
146,Подставка для книг,4.9,13.0,1927,АСТ,твердый переплет,357.2,оффсетная,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
147,"Человек, который смеется",5.0,7.0,1338,АСТ,твердый переплет,640.0,газетная,русский,2019.0,200.0,125.0,нет,27.0
148,Империя бурь,5.0,2.0,4182,Азбука,твердый переплет,704.0,оффсетная,русский,2022.0,210.0,140.0,нет,35.0
149,Сказки-минутки на каждый вечер,4.7,24.0,2714,Росмэн,твердый переплет,128.0,оффсетная,русский,2019.0,263.0,203.0,да,12.0
150,Сила уверенности в себе. Секретное оружие для достижения успеха,4.3,3.0,3313,Эксмо,твердый переплет,240.0,оффсетная,русский,2022.0,212.0,144.0,нет,16.0
151,Белый пароход,4.830314232902033,17.495748613678373,2316,Эксмо,твердый переплет,256.0,оффсетная,русский,2022.0,207.0,134.0,нет,17.0
152,Урфин Джюс и его деревянные солдаты (ил. А.Власовой),4.8,4.0,3539,Эксмо,твердый переплет,248.0,оффсетная,русский,2018.0,226.0,171.0,да,23.0
153,Грозовой перевал,4.7,7.0,1157,Эксмо,твердый переплет,384.0,газетная,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
154,Букварь. Учебное пособие,5.0,418.0,1990,Эксмодетство,твердый переплет,357.2,оффсетная,русский,1973.184034736139,265.0,205.0,нет,10.0
155,Выздоровление души,4.8,20.0,3604,Диля,мягкая обложка,192.0,оффсетная,русский,2018.0,204.0,147.0,нет,10.0
156,Мектепте. Әдептілік әліппесі,4.830314232902033,17.495748613678373,1682,Общественный фонд «Мазмұндама»,мягкая обложка,24.0,оффсетная,Казахский,2023.0,200.0,200.0,нет,8.0
157,Сейчас и навечно,4.7,7.0,2635,Эксмо,твердый переплет,448.0,оффсетная,русский,2022.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
158,Египетская книга мертвых,5.0,4.0,1213,Азбука,мягкая обложка,528.0,оффсетная,русский,2017.0,180.0,130.0,нет,22.596082241301403
159,Чужестранка,5.0,6.0,6174,Эксмо,твердый переплет,688.0,оффсетная,русский,2021.0,242.0,168.0,нет,39.0
160,Команда скелетов,5.0,4.0,2906,АСТ,твердый переплет,672.0,газетная,русский,2017.0,208.0,135.0,нет,46.0
161,451' по Фаренгейту,4.8,10.0,1135,Эксмо,твердый переплет,320.0,газетная,русский,2020.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
162,Бойцовский клуб,5.0,10.0,2469,АСТ,твердый переплет,256.0,оффсетная,русский,2022.0,190.0,125.0,нет,20.0
163,В составе империи,4.2,6.0,1600,Аруна,твердый переплет,224.0,оффсетная,русский,2013.0,288.0,220.0,нет,22.596082241301403
164,Қара сөздер,5.0,5.0,2030,Meloman Publishing,мягкая обложка,152.0,оффсетная,казахский,2020.0,181.0,122.0,нет,7.0
165,Дневник беременности,5.0,1.0,5018,Попурри,твердый переплет,357.2,оффсетная,русский,1973.184034736139,208.49660407510987,144.30630990415335,нет,22.596082241301403
166,Тайный дневник Верити,4.6,12.0,2316,Эксмо,мягкая обложка,384.0,оффсетная,русский,2023.0,213.0,139.0,нет,19.0
167,Интенсивный курс корейского языка для начинающих,5.0,8.0,2564,АСТ,мягкая обложка,352.0,типографская,"русский, корейский",2019.0,212.0,136.0,нет,25.0
168,Хорошо быть тихоней,4.6,36.0,3180,Азбука,твердый переплет,288.0,оффсетная,русский,2021.0,206.0,120.0,нет,17.0
169,Отверженные,4.9,11.0,6963,Иностранка / КоЛибри,твердый переплет,1248.0,оффсетная,русский,2016.0,216.0,155.0,нет,66.0
170,"Лериана, невеста герцога по контракту. Том 4",5.0,1.0,5468,АСТ,твердый переплет,280.0,матовая,русский,2023.0,216.0,169.0,нет,19.0
171,Благословение небожителей. Том 5,5.0,25.0,6215,Комильфо,твердый переплет,448.0,оффсетная,русский,2023.0,215.0,140.0,нет,37.0
172,Начинаю считать. Для детей 4-5 лет. Часть 2,5.0,5.0,1287,Эксмо,мягкая обложка,56.0,оффсетная,русский,2013.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
173,Его прощальный поклон. Архив Шерлока Холмса,5.0,6.0,1196,АСТ,мягкая обложка,576.0,оффсетная,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
174,Выбор,5.0,1.0,1294,АСТ,мягкая обложка,320.0,типографская,русский,2021.0,180.0,115.0,нет,22.0
175,Все правила русского языка,4.9,35.0,574,АСТ,мягкая обложка,154.0,оффсетная,русский,2014.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
176,Цветок яблони,5.0,1.0,4536,Альфа-книга,твердый переплет,441.0,газетная,русский,2023.0,206.0,131.0,нет,30.0
177,Цветы для Элджернона,4.9,20.0,1430,Эксмо,мягкая обложка,320.0,оффсетная,русский,2019.0,181.0,116.0,нет,19.0
178,Повелитель мух,4.8,8.0,2469,АСТ,твердый переплет,320.0,оффсетная,русский,2022.0,186.0,122.0,нет,23.0
179,Маленькие женщины,4.0,3.0,1945,Эксмо,твердый переплет,352.0,оффсетная,русский,2022.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
