,title,rating,review_count,price,Издательство,ISBN,Переплет,Количество страниц,Бумага,Язык,Дата выхода,Высота издания,Ширина издания,Код товара,Unnamed: 14,Тираж,Иллюстрированная,Формат книги,Толщина издания,Производитель,Артикул,Количество листов,Формат,Крепление,Обложка,Отделка обложки,Плотность,Страна-производитель,Размер (Д×Ш×В),Упаковка,Год,Учебный период,Предметы,Бренд,Серия,Цвет,Материал,Типы материалов,Пол,Дополнительная информация,Количество в наборе,Возраст,Размер упаковки (Д×Ш×В),Торговая марка,Вид,Особенности,Продолжительность игры,Количество игроков,Комплектация,Вид лампы,Количество режимов,Световая температура,Световой поток,Мощность,Патрон,Тип питания,Разъёмы,Длина кабеля,Гарантия,Unnamed: 17,Цоколь
0,Станция Лихо,5.0,2.0,2841,Росмэн,978-5-353-10172-7,твердый переплет,304.0,офсетная,русский,2022.0,215 мм,140 мм,2504432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Самоучитель по рисованию акварелью,5.0,19.0,2639,Эксмо,978-5-699-18797-3,твердый переплет,80.0,,русский,2010.0,263 мм,202 мм,193972,,4000 экземпляров,нет,84x108/16,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Хроники Нарнии. Все истории Нарнии в 7 повестях,5.0,102.0,4135,Эксмо,978-5-699-92300-7,твердый переплет,912.0,офсетная,русский,2017.0,219 мм,145 мм,818721,,,нет,60x90/16,40 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48 законов власти,4.7,64.0,1990,РИПОЛ классик,978-5-386-13556-0,мягкая обложка,304.0,,русский,2023.0,180 мм,115 мм,1612572,,,нет,76x100/32,13 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Самостоятельный ребенок или как стать «ленивой мамой»,4.8,91.0,2080,Эксмо,978-5-699-88268-7,твердый переплет,272.0,,русский,2016.0,,,677688,,7000 экземпляров,нет,60x84/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Правила по русскому языку: Начальная школа,5.0,64.0,978,Вако,"978-5-408-02574-9, 978-5-408-01848-2, 978-5-408-00746-2, 978-5-408-00015-9",мягкая обложка,96.0,,русский,2016.0,235 мм,165 мм,125882,,15000 экземпляров,нет,70x100/16,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Простые рецепты при повышенном и пониженном давлении. Мифы и реальность,5.0,3.0,1554,Диля,"978-5-4236-0307-6, 9785423603076",мягкая обложка,224.0,газетная,русский,2021.0,200 мм,126 мм,670657,,3000 экземпляров,нет,84x108/32,9 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Волки Кальи. Из цикла «Темная Башня»,5.0,5.0,2823,Астрель,978-5-271-46181-1,твердый переплет,768.0,газетная,русский,2022.0,210 мм,135 мм,307309,,,,84×108/32,55 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Палата №6,5.0,1.0,1950,Эксмо,978-5-04-173977-5,мягкая обложка,320.0,"офсетная, пухлая",русский,2022.0,199 мм,130 мм,2609310,,5000 экземпляров,,84×108/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Маленькая хозяйка Большого дома,4.6,32.0,1145,АСТ,978-5-17-100401-9,мягкая обложка,384.0,офсетная,русский,2016.0,,,795400,,7000 экземпляров,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Рапунцель,4.7,15.0,2999,АСТ,978-5-17-134937-0,твердый переплет,608.0,типографская,русский,2021.0,,,1892889,,5000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Книги-шпаргалки набор для начальной школы,5.0,3.0,1019,Буква-Ленд,6900032708742,мягкая обложка,8.0,,русский,2018.0,170 мм,120 мм,1728518,,,нет,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Важные годы. Почему не стоит откладывать жизнь на потом,4.8,38.0,1658,"Манн, Иванов и Фербер",978-5-00195-761-4,мягкая обложка,320.0,,русский,2022.0,185 мм,125 мм,2227562,,,нет,84x108/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Книга для записи кулинарных рецептов «Вкусы Италии»,4.0,1.0,1092,,,,,офсетная,,,,,2548127,,,,,,Феникс +,61563,96 листов,A5,ниткошвейный,мелованная бумага,матовая ламинация,65 г/м²,Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Скрюченный домишко,5.0,6.0,1430,Эксмо,978-5-04-109150-7,мягкая обложка,320.0,газетная,русский,2020.0,165 мм,113 мм,1779544,,3000 экземпляров,нет,70x100/32,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Бремя любви,5.0,1.0,1319,Эксмо,978-5-04-123213-9,мягкая обложка,288.0,газетная,русский,2021.0,166 мм,111 мм,2149681,,3000 экземпляров,нет,70x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Путь в Подсознание. Как познать себя и ощутить радость жизни,,,3125,АСТ,978-5-17-159052-9,твердый переплет,288.0,"офсетная, пухлая",русский,2023.0,227 мм,157 мм,3072649,,,,60x90/16,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Пир стервятников,4.8,4.0,3344,АСТ,978-5-17-113864-6,твердый переплет,768.0,газетная,русский,2021.0,206 мм,129 мм,1330444,,7000 экземпляров,нет,84x108/32,34 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Сок сельдерея. Природный эликсир энергии и здоровья,5.0,7.0,3763,Эксмо,978-5-04-105040-5,суперобложка,368.0,офсетная,русский,2019.0,200 мм,138 мм,1497712,,,нет,60x84/16,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Тайна Коко. От музыки до мечты. Книга для чтения с цветными картинками,5.0,5.0,2079,Эксмо,978-5-04-111581-4,твердый переплет,64.0,мелованная,русский,2021.0,,,1933085,,4000 экземпляров,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Лисичка Тыковка, или Лунный камень",5.0,18.0,1745,Эксмо,978-5-699-84048-9,твердый переплет,128.0,офсетная,русский,2015.0,205 мм,130 мм,607609,,,нет,84x108/32,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Двенадцать месяцев,5.0,5.0,1250,АСТ,978-5-17-084970-3,твердый переплет,96.0,офсетная,русский,2014.0,217 мм,146 мм,429530,,,нет,60x90/16,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Учитель,3.4,5.0,1044,АСТ,978-5-17-107607-8,мягкая обложка,320.0,,русский,2019.0,180 мм,115 мм,1520577,,5000 экземпляров,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Рассказ Служанки,,,2414,Эксмо,978-5-04-164011-8,твердый переплет,352.0,офсетная,русский,2022.0,187 мм,125 мм,2355007,,,нет,,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Курок,4.8,4.0,3875,АСТ,978-5-17-144643-7,твердый переплет,576.0,офсетная,русский,2022.0,208 мм,135 мм,2416467,,,,,34 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Два капитана,4.7,7.0,8606,Нигма,978-5-4335-0559-9,твердый переплет,720.0,офсетная,русский,2017.0,224 мм,175 мм,849451,,,нет,70x90/16,42 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Легкий способ бросить курить,5.0,47.0,3607,Добрая книга,"5-98124-125-Х, 978-5-98124-284-7",мягкая обложка,208.0,,русский,,,,13110,,20000 экземпляров,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Там, где цветет полынь",5.0,1.0,2760,Popcorn Books,978-5-6048364-9-1,мягкая обложка,624.0,пухлая,русский,2023.0,210 мм,140 мм,3049352,,,,,50 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Полная колода Таро Уэйта. Руководство для предсказаний,5.0,10.0,5748,АСТ,978-5-17-133331-7,,78.0,картон,русский,2020.0,216 мм,157 мм,1960991,,3000 экземпляров,нет,,45 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Мистикал. Том 1: Пробуждение магии,,,2469,АСТ,978-5-17-159816-7,твердый переплет,256.0,"офсетная, пухлая",русский,2023.0,205 мм,130 мм,3072520,,,,84x108/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Династия Тан. Расцвет китайского средневековья,,,3781,АСТ,978-5-17-159731-3,твердый переплет,352.0,"офсетная, пухлая",русский,2023.0,215 мм,145 мм,3079737,,,,60x90/16,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Убить пересмешника…,4.8,88.0,1520,АСТ,978-5-17-090411-2,мягкая обложка,416.0,офсетная,русский,2018.0,180 мм,116 мм,1082113,,,нет,76x100/32,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Великий Гэтсби,4.9,7.0,1157,Азбука,978-5-389-01995-9,мягкая обложка,256.0,газетная,русский,2023.0,115 мм,180 мм,194622,,5000 экземпляров,нет,76x100/32,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Эгоистичный ген,4.9,9.0,4968,АСТ,978-5-17-077772-3,твердый переплет,512.0,,русский,2013.0,216 мм,148 мм,320808,,,нет,,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Номер 1. Как стать лучшим в том, что ты делаешь",4.6,25.0,7333,"Манн, Иванов и Фербер","978-5-00057-084-5, 978-5-00057-912-1, 978-5-00117-100-3",твердый переплет,240.0,офсетная,русский,2018.0,,,405171,,5000 экземпляров,нет,70x100/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Книга замужней женщины,4.7,29.0,2390,Алматы,978-601-7031-55-8,мягкая обложка,200.0,мелованная,русский,2020.0,,,551003,,2000 экземпляров,нет,46x64/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Всё о ней. Нетревожный подход к гинекологии,,,2941,Индивидуум паблишинг,978-5-907696-14-3,мягкая обложка,336.0,офсетная,русский,2023.0,215 мм,145 мм,3056391,,,,60x90/16,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Скотный Двор. Эссе,5.0,10.0,1250,АСТ,"978-5-17-102500-7, 978-5-17-095795-8, 978-5-17-082849-4",мягкая обложка,256.0,газетная,русский,2017.0,181 мм,114 мм,849346,,,нет,,21 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Возлюби болезнь свою. Как стать здоровым, познав радость жизни",4.9,36.0,2394,Центрполиграф,"978-5-227-08639-6, 978-5-227-09586-2, 978-5-227-09336-3",мягкая обложка,249.0,,русский,2021.0,130 мм,200 мм,206462,,,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Вишневый сад,,,1000,АСТ,978-5-17-148949-6,мягкая обложка,352.0,типографская,русский,2022.0,180 мм,115 мм,2356229,,,нет,76x100/32,27 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Доказательная психосоматика: факты и научный подход. Очень полезная книга для всех, кто думает о здоровье",5.0,22.0,3438,АСТ,978-5-17-155948-9,твердый переплет,256.0,офсетная,русский,2023.0,218 мм,168 мм,2821597,,,,70x90/16,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Раскраска «Желания»,5.0,7.0,833,,4606008567963,мягкая обложка,16.0,офсетная,русский,2023.0,225 мм,225 мм,2731382,,,,,,Феникс +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Волшебник Изумрудного города,4.9,15.0,3539,Эксмо,978-5-699-99047-4,твердый переплет,288.0,офсетная,русский,2018.0,227 мм,172 мм,1094120,,,нет,72x94/16,27 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Вкусное заклинание,5.0,4.0,2541,Эксмо,978-5-04-106963-6,твердый переплет,144.0,офсетная,русский,2020.0,193 мм,133 мм,1637642,,7000 экземпляров,нет,84x108/32,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Дом, в котором...",4.6,55.0,7039,Livebook (Лайвбук),"978-5-907428-59-1, 978-5-904584-69-6, 978-5-9689-0174-3",твердый переплет,960.0,офсетная,русский,2022.0,202 мм,145 мм,133736,,,,60x90/16,42 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Метро 2035,4.3,6.0,5468,АСТ,978-5-17-113122-7,твердый переплет,384.0,офсетная,русский,2018.0,218 мм,170 мм,1287114,,10000 экземпляров,нет,70x90/16,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Москва-Петушки,5.0,3.0,1041,Азбука-Аттикус,"978-5-389-03119-7, 978-5-904118-01-3",мягкая обложка,192.0,газетная,русский,2023.0,,,247697,,,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Перси Джексон и проклятие титана,4.9,31.0,2639,Эксмо,"978-5-699-67417-6, 978-5-699-37125-9",твердый переплет,416.0,,русский,2013.0,206 мм,132 мм,121094,,12000 экземпляров,нет,84x108/32,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Сэру Филиппу, с любовью",4.5,4.0,2345,АСТ,978-5-17-112500-4,твердый переплет,320.0,офсетная,русский,2021.0,207 мм,133 мм,1311344,,1500 экземпляров,нет,84x108/32,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Отношения между эго и бессознательным,5.0,1.0,1439,АСТ,978-5-17-145224-7,мягкая обложка,320.0,офсетная,русский,2021.0,180 мм,115 мм,2311571,,,нет,76x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Щелкунчик и Мышиный король,5.0,1.0,1044,Малыш,978-5-17-137893-6,мягкая обложка,64.0,,русский,2021.0,210 мм,160 мм,2158591,,,нет,70x90/16,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Злой король,5.0,50.0,2510,Freedom,978-5-04-100171-1,твердый переплет,448.0,офсетная,русский,2019.0,206 мм,131 мм,1329174,,7000 экземпляров,нет,84x108/32,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Қан мен тер,4.5,2.0,6400,Книжный клуб,978-601-06-7604-6,твердый переплет,546.0,,казахский,2021.0,206 мм,206 мм,2093492,,,нет,,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Письмо незнакомки. Новеллы,5.0,5.0,968,Азбука,"978-5-389-12110-2, 978-5-389-07503-0",твердый переплет,352.0,газетная,русский,2021.0,205 мм,135 мм,430393,,,,,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Духовка Сильвии Плат,5.0,2.0,3313,Эксмо,978-5-04-110711-6,твердый переплет,416.0,офсетная,русский,2020.0,208 мм,135 мм,1701019,,3000 экземпляров,нет,84x108/32,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Виллет,4.5,4.0,1338,АСТ,978-5-17-085225-3,мягкая обложка,704.0,типографская,русский,2021.0,182 мм,117 мм,2304526,,,нет,76x100/32,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Убийство в «Восточном экспрессе»,5.0,18.0,1525,Эксмо,978-5-04-119120-7,твердый переплет,320.0,,русский,2021.0,207 мм,132 мм,1951441,,5000 экземпляров,нет,84x108/32,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Алая зима,5.0,13.0,2906,АСТ,978-5-17-114127-1,твердый переплет,384.0,офсетная,русский,2019.0,205 мм,132 мм,1409054,,3000 экземпляров,нет,84x108/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Преступление и наказание,4.7,37.0,986,Азбука,978-5-389-04926-0,твердый переплет,608.0,газетная,русский,2018.0,205 мм,135 мм,299129,,,,,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Самые лучшие корейские сказки,5.0,13.0,1389,АСТ,978-5-17-102690-5,мягкая обложка,160.0,офсетная,русский,2018.0,200 мм,125 мм,1094509,,3000 экземпляров,нет,84x108/32,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Труп в библиотеке,4.7,38.0,1090,Эксмо,978-5-04-103507-5,мягкая обложка,288.0,,русский,2019.0,166 мм,113 мм,1454323,,5000 экземпляров,нет,70x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Самая важная книга для родителей,4.9,36.0,7717,АСТ,"978-5-17-083876-9, 978-5-17-078757-9",суперобложка,752.0,офсетная,русский,2017.0,242 мм,175 мм,325444,,,нет,70x100/16,34 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Арабский язык без репетитора. Самоучитель арабского языка,5.0,4.0,1250,АСТ,978-5-17-122079-2,мягкая обложка,320.0,,"русский, арабский",2021.0,,,1970100,,2000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Неправильные. Графический роман,5.0,1.0,4472,Эксмо,978-5-04-143681-0,твердый переплет,192.0,,русский,2022.0,220 мм,155 мм,2656882,,,,,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Вот мы какие!,,,1196,АСТ,978-5-17-159368-1,твердый переплет,24.0,офсетная,русский,2023.0,178 мм,175 мм,3079682,,,,74x108/24*,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Календарь магнитный «Славный дракоша Фэнси»,,,489,,,мягкая обложка,,,,,,,3046085,,,,,,,891-0462,,,,,,,Китай,"14,5 × 9,5 см",пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Пять языков любви. Актуально для всех, а не только для супружеских пар",4.7,17.0,3392,Брайт Букс,978-5-8445-0337-5,мягкая обложка,192.0,газетная,русский,2022.0,212 мм,144 мм,1844964,,,,,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Луна и шесть пенсов. Новый перевод,5.0,2.0,1439,АСТ,978-5-17-148597-9,мягкая обложка,288.0,офсетная,русский,2022.0,185 мм,120 мм,2423424,,,,76x100/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Тихие слова любви,4.9,36.0,3087,Эксмо,978-5-699-94761-4,твердый переплет,384.0,офсетная,русский,,190 мм,116 мм,814344,,,нет,80x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Пропавший без вести,4.5,2.0,1196,АСТ,978-5-17-101136-9,мягкая обложка,352.0,газетная,русский,2017.0,180 мм,115 мм,808084,,,нет,76x100/32,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Монстролог. Все жуткие истории,5.0,2.0,5468,АСТ,978-5-17-136191-4,твердый переплет,1120.0,типографская,русский,2021.0,220 мм,149 мм,2308057,,,нет,60x90/16,52 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Звезды над нами,5.0,6.0,2688,АСТ,978-5-17-136928-6,твердый переплет,416.0,,русский,2022.0,200 мм,125 мм,1999438,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Демиан,4.8,56.0,1272,АСТ,978-5-17-086116-3,мягкая обложка,224.0,офсетная,русский,2014.0,180 мм,115 мм,449431,,,нет,76x100/32,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Японское вязание крючком. Идеальный справочник по техникам, приемам и чтению схем любой сложности",5.0,2.0,4472,Эксмо,978-5-04-114019-9,твердый переплет,224.0,офсетная,русский,2021.0,,,1933159,,3000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Хороший динозавр. Дорога домой. Книга для чтения с цветными картинками,5.0,30.0,2079,Эксмо,978-5-04-101823-8,твердый переплет,64.0,мелованная,русский,2019.0,200 мм,145 мм,1404414,,4000 экземпляров,нет,60x82/16,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Империя тюрков. История великой цивилизации,5.0,6.0,9608,РИПОЛ классик,978-5-386-13511-9,твердый переплет,704.0,офсетная,русский,2021.0,262 мм,210 мм,1612654,,,нет,84x108/16,36 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Семь сестер. Атлас. История Па Солта,5.0,1.0,5690,Эксмо,978-5-04-168239-2,твердый переплет,656.0,"офсетная, пухлая",русский,2023.0,235 мм,162 мм,3004801,,,,70x100/16,40 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Календарь настенный на 2024 год «Стихи русских поэтов»,,,1287,Эксмо,,мягкая обложка,,мелованная,,,,,2901917,,,,,,,978-5-04179-827-7,12 листов,,скрепки,,,150 г/м²,Россия,29 × 29 см ,пакет,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Дао Toyota. 14 принципов менеджмента ведущей компании мира. 2-е издание,5.0,2.0,6230,Теории от практиков,978-5-604-75820-5,твердый переплет,492.0,,русский,2023.0,241 мм,168 мм,2410210,,,,70×100/16,31 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Ворон,5.0,3.0,1343,Азбука,"978-5-389-07132-2, 978-5-9985-0096-1",мягкая обложка,288.0,газетная,русский,2021.0,180 мм,116 мм,139748,,5000 экземпляров,,76×100/32,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Защитные силы организма. Укрепляем иммунитет с помощью целительного массажа активных точек,,,2020,АСТ,978-5-17-146932-0,твердый переплет,288.0,типографская,русский,2022.0,217 мм,143 мм,2330244,,,нет,60x90/16,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Все сказки Ганса Христиана Андерсена,5.0,6.0,12402,Алгоритм,978-5-907028-58-6,,960.0,,русский,2018.0,240 мм,173 мм,1281508,,2000 экземпляров,нет,70x100/16,48 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Разрушающая мифы,,,6080,bestsellers.kz,9786018095962,твердый переплет,168.0,,русский,2023.0,205 мм,145 мм,2997185,,,,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,The Secret Garden,5.0,6.0,1801,АСТ,978-5-17-150486-1,мягкая обложка,384.0,офсетная,английский,2022.0,185 мм,115 мм,2567787,,,,76x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Как перестать беспокоиться и начать жить,4.9,24.0,3596,Попурри,"978-985-15-4326-3, 978-985-15-3975-4, 978-985-15-3457-5, 978-985-15-3179-6, 978-985-15-2979-3, 0-671-03597-5, 978-985-15-0129-4, 978-985-15-0299-4, 978-985-15-0613-8",мягкая обложка,416.0,газетная,русский,2019.0,200 мм,126 мм,79031,,,нет,84x108/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Развивающие задания, 2-3 года",4.9,14.0,312,Фламинго,"978-5-7833-2446-8, 978-5-7833-2904-3",мягкая обложка,16.0,,русский,2021.0,215 мм,164 мм,1386055,,,нет,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Фехтовальщики. Том первый,5.0,9.0,2760,Popcorn Books,978-5-6045889-2-5,мягкая обложка,112.0,,русский,2021.0,270 мм,175 мм,2004106,,,нет,,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Своя комната,4.8,41.0,958,АСТ,978-5-17-117348-7,мягкая обложка,224.0,офсетная,русский,2019.0,180 мм,115 мм,1533527,,5000 экземпляров,нет,76x100/32,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Безмолвный пациент,4.6,8.0,2414,Эксмо,978-5-04-155570-2,мягкая обложка,384.0,офсетная,русский,2021.0,163 мм,112 мм,2168282,,3000 экземпляров,нет,70×100/32,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,11/22/63,4.6,19.0,2125,АСТ,978-5-17-122086-0,мягкая обложка,928.0,газетная,русский,2020.0,180 мм,115 мм,1735027,,10000 экземпляров,нет,76x100/32,35 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Музыкофилия,5.0,2.0,1651,АСТ,978-5-17-112172-3,мягкая обложка,480.0,офсетная,русский,2018.0,180 мм,115 мм,1295020,,5000 экземпляров,нет,76x100/32,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,4.9,113.0,3843,Прогресс книга,978-5-4461-1216-6,твердый переплет,304.0,,русский,2022.0,241 мм,171 мм,1538677,,,нет,,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Полковнику никто не пишет,4.2,6.0,1481,АСТ,"978-5-17-101402-5, 978-5-17-082808-1",мягкая обложка,128.0,офсетная,русский,2013.0,,,370701,,,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Men without women. Мужчины без женщин,4.8,4.0,2639,Эксмо,978-5-04-097803-8,мягкая обложка,288.0,,русский,2018.0,200 мм,130 мм,1301981,,5000 экземпляров,нет,84x108/32,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Король и Шут. Старая книга,4.8,12.0,9123,АСТ,978-5-17-105814-2,твердый переплет,280.0,офсетная,русский,2018.0,288 мм,216 мм,971226,,,да,60x84/8,21 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
